predicted_message_type,message_type,sms_sender,message
REQUEST,DECLINE,BP-iPaytm,Your EMI Payment of Loan through Paytm Loan Account Number PYTMBLHM1187962 has failed. Paytm has successfully initiated a refund of Rs. 250. Please contact us at https://paytm.com/care if you have any queries
REQUEST,REQUEST,AX-BOBSMS,You have initiated linking of your bank account 1698 on UPI app. If it's not you kindly contact your bank on helpline no. 1-800-102-4455 immediately. - Bank of Baroda
REQUEST,REQUEST,TM-CANBNK,"Dear Customer, we got a request for linking your account for UPI XXXXXXXXXX0298 . Do not share your Debit card details/One-time password or OTP/Expiry date number to avoid any financial loss. If it is not initiated by you, please report immediately to your bank helpline no.(18004250018) to avoid any financial loss.-Canara Bank"
REQUEST,REQUEST,BZ-SBIINB,"Dear Customer, Activation of 3rd party added by you at 01-05-2021 05:30:55 AM is in process. Money can be transferred only after activation -SBI"
REQUEST,ACTIVATE,BP-iPaytm,Congratulations! Your application for Paytm for Business account upgrade has been approved! Thank you for growing your business with Paytm.
REQUEST,REQUEST,CP-CANBNK,"Dear Customer, we got a request for linking your account for UPI XXXXXXXXX4700 . Do not share your Debit card details/One-time password or OTP/Expiry date number to avoid any financial loss. If it is not initiated by you, please report immediately to your bank helpline no.(18004250018) to avoid any financial loss."
REQUEST,INFO,JD-BOIIND,BOI -  Your TDR4494XXXXXXXX633 is maturing on10-12-2020.Renewal period will be6 months and0 days. Please contact branch for change if any.
REQUEST,DECLINE,AX-CanBnk,"Dear Customer, Your request to set UPI PIN on UPI app has failed. Do not share your Debit card details/One time password or OTP/Expiry date number to avoid any financial loss. If it is not initiated by you, please report immediately to your bank helpline no. (18004250018) to avoid any financial loss.-Canara Bank"
REQUEST,REQUEST,BP-PAYTMB,"You have successfully added CTM rode as a nominee to your savings account. For queries, visit http://m.paytm.me/care :PPBL"
REQUEST,REQUEST,AXAxisBk,You have initiated a payment of Rs. 600 using EasyPay for Invoicemart. Your unique reference number is 73643694.
REQUEST,ACTIVATE,BP-iPaytm,Congratulations! Your application for Paytm for Business account upgrade has been approved! Thank you for growing your business with Paytm.
REQUEST,REQUEST,AX-CANBNK,"Mobile Banking Registration started. If not initiated by you, report immediately to Bank Helpline 1800-4250-018. Never share OTP/Card/Exp/CVV details to anyone."
REQUEST,REQUEST,JDBOBSMS,You have successfully set the UPI PIN with the UPI app. If it's not you kindly contact your bank on helpline no. 1-800-102-4455 immediately
REQUEST,REQUEST,BZ-SBIINB,"Dear Customer, Activation of 3rd party added by you at 27-05-2021 11:19:33 AM is in process. Money can be transferred only after activation -SBI"
REQUEST,ACTIVATE,AX-BOIIND,"Dear Customer, Welcome to Bank of India  mobile banking service, your request for registration is successful."
REQUEST,INFO,BP-iPaytm,"Your settlement account for Paytm Merchant payments has been changed to Paytm Wallet ****8616 as per your request. For any concerns, call our helpline 01204440440."
REQUEST,REQUEST,TM-CANBNK,"Dear Customer, we got a request for linking your account for UPI XXXXXXXXX5386 . Do not share your Debit card details/One-time password or OTP/Expiry date number to avoid any financial loss. If it is not initiated by you, please report immediately to your bank helpline no.(18004250018) to avoid any financial loss.-Canara Bank"
REQUEST,REQUEST,BW-UNIONB,"You have initiated linking of your bank account Union Bank of India on UPI app.Do not share your Debit Card Details/OTP/Expiry date number to avoid any financial loss.If this transaction is not initiated by you,please report immediately to your bank helpline no 1800222244 -Union Bank of India"
